Source;Target;Type;Cookie;Secure
doubleclick.net;weborama.fr;Directed;True;True
doubleclick.net;googlesyndication.com;Directed;False;True
smartadserver.com;powerlinks.com;Directed;True;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;doubleclick.net;Directed;True;True
pubmatic.com;bidswitch.net;Directed;True;False
smartadserver.com;bidswitch.net;Directed;True;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;True
agkn.com;rundsp.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
agkn.com;mathtag.com;Directed;True;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;outbid.io;Directed;False;False
doubleclick.net;weborama.fr;Directed;True;True
googlesyndication.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
smartadserver.com;powerlinks.com;Directed;True;False
doubleclick.net;weborama.fr;Directed;True;True
googlesyndication.com;doubleclick.net;Directed;True;True
smartadserver.com;adsymptotic.com;Directed;True;True
smartadserver.com;adsymptotic.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
smartadserver.com;bluekai.com;Directed;True;False
doubleclick.net;adnxs.com;Directed;True;True
doubleclick.net;weborama.fr;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
googlesyndication.com;everesttech.net;Directed;True;True
weborama.fr;createjs.com;Directed;False;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
googlesyndication.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
googlesyndication.com;extend.tv;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
googlesyndication.com;doubleclick.net;Directed;True;True
weborama.fr;adrcdn.com;Directed;False;True
smartadserver.com;adsymptotic.com;Directed;True;False
smartadserver.com;adsrvr.org;Directed;True;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
smartadserver.com;adsymptotic.com;Directed;True;True
imasdk.googleapis.com;gstatic.com;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
imasdk.googleapis.com;serving-sys.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;scorecardresearch.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;stickyadstv.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;doubleclick.net;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;stickyadstv.com;Directed;True;True
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
imasdk.googleapis.com;googlesyndication.com;Directed;False;False
tunnl.com;ajax.googleapis.com;Directed;False;False
tunnl.com;ajax.googleapis.com;Directed;False;False
tunnl.com;ajax.googleapis.com;Directed;False;False
tunnl.com;imasdk.googleapis.com;Directed;False;False
richaudience.com;doubleclick.net;Directed;True;True
richaudience.com;everesttech.net;Directed;True;True
richaudience.com;mathtag.com;Directed;True;True
richaudience.com;audience.network;Directed;False;True
richaudience.com;angsrvr.com;Directed;True;True
richaudience.com;yume.com;Directed;True;True
batpirate.info;coinhive.com;Directed;False;True
batpirate.info;google-analytics.com;Directed;False;True
batpirate.info;google-analytics.com;Directed;False;True
batpirate.info;coinhive.com;Directed;False;True
batpirate.info;coinhive.com;Directed;False;True
batpirate.info;google-analytics.com;Directed;False;True
batpirate.info;google-analytics.com;Directed;False;True
phncdn.com;fonts.googleapis.com;Directed;False;True
krxd.net;mathtag.com;Directed;True;True
krxd.net;scorecardresearch.com;Directed;True;True
krxd.net;bluekai.com;Directed;True;True
krxd.net;exelator.com;Directed;True;True
krxd.net;criteo.com;Directed;True;True
krxd.net;exelator.com;Directed;True;True
mathtag.com;doubleclick.net;Directed;True;True
krxd.net;visualdna.com;Directed;True;True
mathtag.com;crwdcntrl.net;Directed;True;True
mathtag.com;liadm.com;Directed;True;True
